ID;NOME ORG;Latitude;Longitude
86;01.696.357/0001-19 | COMISSAO DE MAES FORMADAS;-23,4989289;-46,6843895
87;01.786.340/0001-52 | INSTITUTO SERVE BEM;-23,6674798;-46,7553356
88;01.796.273/0001-57 | CENTRO ESPORTIVO COMUNITÁRIO IMBUIAS;-23,729249;-46,7095731
89;01.826.405/0001-46 | CYGANUS MOTO CLUBE INSTITUTO EDUCACIONAL E PROFISSIONALIZANTE;-23,6701817;-46,7559379
90;01.851.290/0001-40 | ASSOCIAÇÃO COMUNITARIA RESGASTEDE OBRA SOCIAS;-23,5418371;-46,5129901
91;01.864.893/0001-86 | IGREJA EVANGÉLICA ASSEMBLEIA DE DEUS MINISTÉRIO A MISSÃO DE CRISTO;-23,5282203;-46,4643005
92;01.896.702/0001-68 | ASSOCIAÇÃO SHALON;-23,5555715;-46,4862599
93;01.937.306/0001-31 | SOCIEDADE AMIGOS DO BAIRRO JARDIM LARANJEIRAS;-23,7056833;-46,6286326
94;01.954.048/0001-00 | ASSOCIAÇÃO FEDERATIVA DE ENTIDADES E CLUBE DE MÃES RAIOS DE LUAR;-23,5547023;-46,434634
95;01.962.428/0001-88 | ASSOCIAÇÃO DOS CONDOMÍNIOS DO MORUMBI SUL;-23,6407057;-46,7583637
96;02.020.680/0001-30 | SOCIEDADE AMIGOS DO PARQUE VEREDAS - SAMPAV;-23,5106552;-46,3868325
97;02.021.542/0001-76 | COOPERATIVA NACIONAL DE EMPREENDIMENTOS POPULARES E ECOLOGICOS - CONEPE;-23,6914041;-46,6361083
98;02.059.877/0001-83 | ASSOCIAÇÃO VIDA ESPERANÇA;-23,3923625;-46,7351414
99;02.100.482/0001-87 | ASSOCIAÇÃO CIVIL SOCIEDADE ALTERNATIVA;-23,6117423;-46,7472159
100;02.127.582/0001-05 | ACPMD - ASSOCIACAO COMUNITARIA DO PARQUE MARIA DOMITILA;-23,4958494;-46,7378922
101;02.150.455/0001-19 | IGREJA DE CRISTO SANTIFICADOS;-23,498632;-46,4950392
102;02.163.617/0001-53 | ASSOCIAÇÃO CENTRAL E COMUNITÁRIA DO CONJUNTO HABITACIONAL BRASILÂNDIA B3;-23,4465351;-46,7084151
103;02.165.543/0001-94 | ASSOCIAÇÃO DE GESTÃO EM HABITAÇÃO DE INTERESSE SOCIAL - FIMAPROM;-23,6565706;-46,7637113
104;02.204.125/0001-69 | COOPERATIVA DE RECICLAGEM DE RESIDUS SOLIDOS SÃO MATEUS;-23,5550584;-46,5117021
105;02.270.309/0001-27 | FORUM DE CORTIÇOS E SEM TETO DE SÃO PAULO;-23,5421236;-46,6453601
106;02.278.101/0001-54 | FEDERAÇÃO HABITACIONAL NOVO HORIZONTE - FEHAB;-23,5442981;-46,5289823
107;02.345.522/0001-50 | ASSOCIACAO DE MULHERS FELIZ;-23,6666651;-46,7482181
108;02.345.523/0001-03 | ASSOCIAÇÃO BENEFICENTE TERCEIRA IDADE SAO FRANCISCO;-23,6842521;-46,6822954
109;02.359.038/0001-80 | IGREJA PENTECOSTAL FONTE D`AGUA VIVA;-23,5174125;-46,5461658
110;02.395.963/0001-67 | ONG ALERTA CRIANÇA;-23,6035139;-46,4018705
111;02.406.322/0001-60 | CASA DA TERCEIRA IDADE TEREZA BUGOLIM;-23,4950028;-46,4695965
112;02.467.531/0001-14 | CENTRO DE ORIENTAÇÃO E EDUCAÇÃO Á JUVENTUDE;-23,7167311;-46,6974765
113;02.467.573/0001-55 | ASSOCIAÇÃO RESPLENDOR CASA DE APOIO AOS PORTADORES DO VIRUS HIV;-23,6572702;-46,7545435
114;02.509.185/0001-90 | ASSOCIAÇÃO CULTURAL COMUNITÁRIA DA PAZ;-23,7751528;-46,6826958
115;02.537.887/0009-34 | ASSOCIACAO BENEFICENTE IRMA IDELFRANCA;-23,4805373;-46,3845933
116;02.537.887/0011-59 | ASSOCIAÇÃO BENEFICENTE IRMÃ IDELFRANCA - SAO JOSE OPERARIO;-23,4948796;-46,3984003
117;02.537.887/0012-30 | ASSOCIAÇÃO BENEFICENTE IRMÃ IDELFRANCA - NOSSA SENHORA DE FATIMA;-23,4952846;-46,3877275
118;02.556.417/0001-60 | ASSOCIAÇÃO CRIANÇAS CARENTES DO BAIRRO JARDIM YPORA;-23,7863666;-46,7119343
119;02.577.573/0001-08 | ASSOCIAÇÃO PORTAL DA JUTA - PRIMEIRO DO MAIO;-23,542595;-46,6396986
120;02.580.102/0001-59 | ORGANIZAÇÃO SOCIAL IRENE LOPES;-23,5267216;-46,4611064
121;02.583.012/0001-11 | ASSOCIAÇÃO HORA DO SABER;-23,5112708;-46,3813005
122;02.619.234/0001-47 | SOCIEDADE AMIGOS DO JARDIM SAPOPEMBA E BLOCO DE RUA PODE ENTRAR;-23,6009943;-46,4849856
123;02.627.820/0014-58 | SAMARITANO SÃO FRANCISCO DE ASSIS;-23,5370948;-46,3984146
